filename,start_date,finish_date,start_time,end_time,start_coordinates,end_coordinates
USERDATA.GPX,,2025-08-17,,14:54:39,"56.032599,16.590666","54.361792,18.659195"
YB3_23326_Positions.gpx,2025-08-04,2025-08-05,12:00:05,04:00:05,"63.444130,-20.269730","63.444140,-20.269770"
